file_id,filename,species,filepath,duration_sec,sample_rate,source
cat_0001,cat_local_B_ANI01_MC_FN_SIM01_101.wav,cat,data/processed/cat_local_B_ANI01_MC_FN_SIM01_101.wav,2.0,22050,local
cat_0002,cat_local_B_BRI01_MC_FI_SIM01_101.wav,cat,data/processed/cat_local_B_BRI01_MC_FI_SIM01_101.wav,2.0,22050,local
cat_0003,cat_local_B_BRI01_MC_FI_SIM01_202.wav,cat,data/processed/cat_local_B_BRI01_MC_FI_SIM01_202.wav,2.0,22050,local
cat_0004,cat_local_B_BRI01_MC_FI_SIM01_303.wav,cat,data/processed/cat_local_B_BRI01_MC_FI_SIM01_303.wav,2.0,22050,local
cat_0005,cat_local_B_CAN01_EU_FN_GIA01_102.wav,cat,data/processed/cat_local_B_CAN01_EU_FN_GIA01_102.wav,2.0,22050,local
cat_0006,cat_local_B_CAN01_EU_FN_GIA01_105.wav,cat,data/processed/cat_local_B_CAN01_EU_FN_GIA01_105.wav,2.0,22050,local
cat_0007,cat_local_B_CAN01_EU_FN_GIA01_310.wav,cat,data/processed/cat_local_B_CAN01_EU_FN_GIA01_310.wav,2.0,22050,local
cat_0008,cat_local_B_DAK01_MC_FN_SIM01_301.wav,cat,data/processed/cat_local_B_DAK01_MC_FN_SIM01_301.wav,2.0,22050,local
cat_0009,cat_local_B_IND01_EU_FN_ELI01_103.wav,cat,data/processed/cat_local_B_IND01_EU_FN_ELI01_103.wav,2.0,22050,local
cat_0010,cat_local_B_IND01_EU_FN_ELI01_202.wav,cat,data/processed/cat_local_B_IND01_EU_FN_ELI01_202.wav,2.0,22050,local
cat_0011,cat_local_B_IND01_EU_FN_ELI01_304.wav,cat,data/processed/cat_local_B_IND01_EU_FN_ELI01_304.wav,2.0,22050,local
cat_0012,cat_local_B_MAG01_EU_FN_FED01_301.wav,cat,data/processed/cat_local_B_MAG01_EU_FN_FED01_301.wav,2.0,22050,local
cat_0013,cat_local_B_MAT01_EU_FN_RIT01_204.wav,cat,data/processed/cat_local_B_MAT01_EU_FN_RIT01_204.wav,2.0,22050,local
cat_0014,cat_local_B_MAT01_EU_FN_RIT01_206.wav,cat,data/processed/cat_local_B_MAT01_EU_FN_RIT01_206.wav,2.0,22050,local
cat_0015,cat_local_B_MAT01_EU_FN_RIT01_207.wav,cat,data/processed/cat_local_B_MAT01_EU_FN_RIT01_207.wav,2.0,22050,local
cat_0016,cat_local_B_MIN01_EU_FN_BEN01_101.wav,cat,data/processed/cat_local_B_MIN01_EU_FN_BEN01_101.wav,2.0,22050,local
cat_0017,cat_local_B_MIN01_EU_FN_BEN01_102.wav,cat,data/processed/cat_local_B_MIN01_EU_FN_BEN01_102.wav,2.0,22050,local
cat_0018,cat_local_B_MIN01_EU_FN_BEN01_103.wav,cat,data/processed/cat_local_B_MIN01_EU_FN_BEN01_103.wav,2.0,22050,local
cat_0019,cat_local_B_MIN01_EU_FN_BEN01_104.wav,cat,data/processed/cat_local_B_MIN01_EU_FN_BEN01_104.wav,2.0,22050,local
cat_0020,cat_local_B_NIG01_MC_MN_SIM01_201.wav,cat,data/processed/cat_local_B_NIG01_MC_MN_SIM01_201.wav,2.0,22050,local
cat_0021,cat_local_B_NUL01_MC_MI_SIM01_201.wav,cat,data/processed/cat_local_B_NUL01_MC_MI_SIM01_201.wav,2.0,22050,local
cat_0022,cat_local_B_REG01_EU_FN_GIO01_102.wav,cat,data/processed/cat_local_B_REG01_EU_FN_GIO01_102.wav,2.0,22050,local
cat_0023,cat_local_B_SPI01_EU_MN_NAI01_101.wav,cat,data/processed/cat_local_B_SPI01_EU_MN_NAI01_101.wav,2.0,22050,local
cat_0024,cat_local_B_WHO01_MC_FI_SIM01_103.wav,cat,data/processed/cat_local_B_WHO01_MC_FI_SIM01_103.wav,2.0,22050,local
cat_0025,cat_local_B_WHO01_MC_FI_SIM01_201.wav,cat,data/processed/cat_local_B_WHO01_MC_FI_SIM01_201.wav,2.0,22050,local
cat_0026,cat_local_B_WHO01_MC_FI_SIM01_202.wav,cat,data/processed/cat_local_B_WHO01_MC_FI_SIM01_202.wav,2.0,22050,local
cat_0027,cat_local_B_WHO01_MC_FI_SIM01_302.wav,cat,data/processed/cat_local_B_WHO01_MC_FI_SIM01_302.wav,2.0,22050,local
cat_0028,cat_local_F_BRI01_MC_FI_SIM01_201.wav,cat,data/processed/cat_local_F_BRI01_MC_FI_SIM01_201.wav,2.0,22050,local
cat_0029,cat_local_F_MAT01_EU_FN_RIT01_101.wav,cat,data/processed/cat_local_F_MAT01_EU_FN_RIT01_101.wav,2.0,22050,local
cat_0030,cat_local_F_MAT01_EU_FN_RIT01_301.wav,cat,data/processed/cat_local_F_MAT01_EU_FN_RIT01_301.wav,2.0,22050,local
cat_0031,cat_local_F_REG01_EU_FN_GIO01_201.wav,cat,data/processed/cat_local_F_REG01_EU_FN_GIO01_201.wav,2.0,22050,local
cat_0032,cat_local_F_SPI01_EU_MN_NAI01_102.wav,cat,data/processed/cat_local_F_SPI01_EU_MN_NAI01_102.wav,2.0,22050,local
cat_0033,cat_local_F_SPI01_EU_MN_NAI01_103.wav,cat,data/processed/cat_local_F_SPI01_EU_MN_NAI01_103.wav,2.0,22050,local
cat_0034,cat_local_F_SPI01_EU_MN_NAI01_104.wav,cat,data/processed/cat_local_F_SPI01_EU_MN_NAI01_104.wav,2.0,22050,local
cat_0035,cat_local_F_SPI01_EU_MN_NAI01_201.wav,cat,data/processed/cat_local_F_SPI01_EU_MN_NAI01_201.wav,2.0,22050,local
